Domain,Page,Visible words,FAQs,Audit result,File
"Engineering","Earthing and Grounding Fundamentals","2047","14","Baseline content depth achieved","engineering/electrical-engineering/industrial-power-distribution/earthing/earthing-and-grounding-fundamentals/index.html"
"Engineering","Wind Load: Structural Engineering Fundamentals","2051","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/structural-loads/environmental-loads/wind-load-structural-engineering-fundamentals/index.html"
"Engineering","Bolted and Welded Steel Connections","2053","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/steel-structures/connections/bolted-and-welded-steel-connections/index.html"
"Engineering","Industrial Flow Measurement Methods","2054","14","Baseline content depth achieved","engineering/instrumentation-and-control-engineering/process-measurement/flow-measurement/industrial-flow-measurement-methods/index.html"
"Engineering","Live Load in Industrial Structures","2055","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/structural-loads/permanent-and-imposed-loads/live-load-in-industrial-structures/index.html"
"Engineering","Seismic Load: Structural Engineering Fundamentals","2055","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/structural-loads/environmental-loads/seismic-load-structural-engineering-fundamentals/index.html"
"Engineering","Dead Load in Industrial Structures","2059","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/structural-loads/permanent-and-imposed-loads/dead-load-in-industrial-structures/index.html"
"Engineering","PID Control Loop Fundamentals","2061","14","Baseline content depth achieved","engineering/instrumentation-and-control-engineering/automation-and-control/control-loops/pid-control-loop-fundamentals/index.html"
"Engineering","Steel Beams: Function and Design Basics","2063","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/steel-structures/structural-members/steel-beams-function-and-design-basics/index.html"
"Engineering","Steel Columns: Function and Design Basics","2065","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/steel-structures/structural-members/steel-columns-function-and-design-basics/index.html"
"Engineering","Reinforced Concrete Fundamentals for Industrial Facilities","2069","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/industrial-civil-works/concrete-works/reinforced-concrete-fundamentals-for-industrial-facilities/index.html"
"Engineering","Equipment Foundations: Types and Design Inputs","2072","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/industrial-civil-works/foundations/equipment-foundations-types-and-design-inputs/index.html"
"Engineering","Industrial Plant Drainage and Grading Basics","2074","14","Baseline content depth achieved","engineering/structural-and-industrial-civil-engineering/industrial-civil-works/drainage/industrial-plant-drainage-and-grading-basics/index.html"
